0;2;2;;1;1;;;;;;;;;;;;;;;;;;;
1;2;2;;1;1;;0;0;;;;;;;;;;;;;;;;
2;24;24;;12;12;;11;11;;1;;;;;;;0;11;14;17;20;23;26;29
3;46;52;;23;26;;11;14;;1;;;;;;;0;1;2;4;8;16;32;64
4;74;80;;37;40;;14;14;;2;;;;;;;;;;;;;;
5;96;114;;48;57;;11;17;;1;;;;;;;;;;;;;;
6;124;148;;62;74;;14;17;;2;;;;;;;;;;;;;;
7;152;182;;76;91;;14;17;;2;;;;;;;;;;;;;;
8;186;216;;93;108;;17;17;;3;;;;;;;;;;;;;;
9;208;256;;104;128;;11;20;;1;;;;;;;;;;;;;;
10;236;296;;118;148;;14;20;;2;;;;;;;;;;;;;;
11;264;336;;132;168;;14;20;;2;;;;;;;;;;;;;;
12;298;376;;149;188;;17;20;;3;;;;;;;;;;;;;;
13;326;416;;163;208;;14;20;;2;;;;;;;;;;;;;;
14;360;456;;180;228;;17;20;;3;;;;;;;;;;;;;;
15;394;496;;197;248;;17;20;;3;;;;;;;;;;;;;;
16;434;536;;217;268;;20;20;;4;;;;;;;;;;;;;;
17;456;582;;228;291;;11;23;;1;;;;;;;;;;;;;;
18;484;628;;242;314;;14;23;;2;;;;;;;;;;;;;;
19;512;674;;256;337;;14;23;;2;;;;;;;;;;;;;;
20;546;720;;273;360;;17;23;;3;;;;;;;;;;;;;;
21;574;766;;287;383;;14;23;;2;;;;;;;;;;;;;;
22;608;812;;304;406;;17;23;;3;;;;;;;;;;;;;;
23;642;858;;321;429;;17;23;;3;;;;;;;;;;;;;;
24;682;904;;341;452;;20;23;;4;;;;;;;;;;;;;;
25;710;950;;355;475;;14;23;;2;;;;;;;;;;;;;;
26;744;996;;372;498;;17;23;;3;;;;;;;;;;;;;;
27;778;1042;;389;521;;17;23;;3;;;;;;;;;;;;;;
28;818;1088;;409;544;;20;23;;4;;;;;;;;;;;;;;
29;852;1134;;426;567;;17;23;;3;;;;;;;;;;;;;;
30;892;1180;;446;590;;20;23;;4;;;;;;;;;;;;;;
31;932;1226;;466;613;;20;23;;4;;;;;;;;;;;;;;
32;978;1272;;489;636;;23;23;;5;;;;;;;;;;;;;;
33;1000;1324;;500;662;;11;26;;1;;;;;;;;;;;;;;
34;1028;1376;;514;688;;14;26;;2;;;;;;;;;;;;;;
35;1056;1428;;528;714;;14;26;;2;;;;;;;;;;;;;;
36;1090;1480;;545;740;;17;26;;3;;;;;;;;;;;;;;
37;1118;1532;;559;766;;14;26;;2;;;;;;;;;;;;;;
38;1152;1584;;576;792;;17;26;;3;;;;;;;;;;;;;;
39;1186;1636;;593;818;;17;26;;3;;;;;;;;;;;;;;
40;1226;1688;;613;844;;20;26;;4;;;;;;;;;;;;;;
41;1254;1740;;627;870;;14;26;;2;;;;;;;;;;;;;;
42;1288;1792;;644;896;;17;26;;3;;;;;;;;;;;;;;
43;1322;1844;;661;922;;17;26;;3;;;;;;;;;;;;;;
44;1362;1896;;681;948;;20;26;;4;;;;;;;;;;;;;;
45;1396;1948;;698;974;;17;26;;3;;;;;;;;;;;;;;
46;1436;2000;;718;1000;;20;26;;4;;;;;;;;;;;;;;
47;1476;2052;;738;1026;;20;26;;4;;;;;;;;;;;;;;
48;1522;2104;;761;1052;;23;26;;5;;;;;;;;;;;;;;
49;1550;2156;;775;1078;;14;26;;2;;;;;;;;;;;;;;
50;1584;2208;;792;1104;;17;26;;3;;;;;;;;;;;;;;
51;1618;2260;;809;1130;;17;26;;3;;;;;;;;;;;;;;
52;1658;2312;;829;1156;;20;26;;4;;;;;;;;;;;;;;
53;1692;2364;;846;1182;;17;26;;3;;;;;;;;;;;;;;
54;1732;2416;;866;1208;;20;26;;4;;;;;;;;;;;;;;
55;1772;2468;;886;1234;;20;26;;4;;;;;;;;;;;;;;
56;1818;2520;;909;1260;;23;26;;5;;;;;;;;;;;;;;
57;1852;2572;;926;1286;;17;26;;3;;;;;;;;;;;;;;
58;1892;2624;;946;1312;;20;26;;4;;;;;;;;;;;;;;
